0,i,16202,605
1,x,9428,400
2,self,9047,126
3,readline,8545,438
4,f,6465,319
5,append,6185,578
6,split,6178,587
7,sys,6178,418
8,n,5500,419
9,y,4606,277
10,j,4408,369
11,a,4230,318
12,s,4149,311
13,t,3985,299
14,r,3705,170
15,line,3283,196
16,xrange,3185,237
17,queries,3129,271
18,case,3105,235
19,strip,3089,292
20,k,3004,282
21,engines,2761,271
22,b,2632,256
23,sort,2465,464
24,m,2304,215
25,c,2268,211
26,l,2107,176
27,N,2066,200
28,R,2057,108
29,q,2027,243
30,p,1965,181
31,argv,1960,218
32,g,1957,124
33,stdin,1920,150
34,file,1889,118
35,A,1864,228
36,time,1820,169
37,d,1716,140
38,raw_input,1688,119
39,close,1671,213
40,count,1651,193
41,lines,1616,67
42,v,1614,107
43,math,1610,222
44,M,1597,195
45,res,1558,80
46,write,1456,229
47,B,1455,203
48,main,1442,154
49,e,1435,139
50,index,1421,208
51,T,1370,158
52,result,1347,106
53,cases,1240,124
54,x1,1235,105
55,S,1224,145
56,query,1207,169
57,pop,1177,168
58,L,1110,133
59,y1,1055,91
60,other,1049,29
61,switches,1044,155
62,engine,1040,131
63,data,1001,53
64,solve,992,104
65,sqrt,969,135
66,x2,959,93
67,Q,948,129
68,fin,939,36
69,start,935,98
70,C,908,174
71,v1,906,102
72,X,893,141
73,v2,880,98
74,x0,863,139
75,K,845,126
76,na,843,138
77,y0,838,137
78,nb,830,142
79,P,827,151
80,y2,813,81
81,NA,807,145
82,Y,806,142
83,num,785,91
84,z,770,51
85,NB,770,145
86,h,754,111
87,D,737,146
88,output,732,66
89,pos,720,56
90,trip,678,56
91,arr,674,60
92,reverse,671,271
93,infile,659,29
94,turnaround,659,95
95,remove,640,182
96,key,639,94
97,out,626,50
98,dep,625,60
99,nodes,618,31
100,args,610,36
101,area,603,64
102,num_cases,587,54
103,events,587,42
104,tree,583,28
105,freq,578,62
106,trains,575,53
107,rstrip,573,71
108,w,543,30
109,keys,541,102
110,ans,535,50
111,string,535,59
112,times,526,55
113,train,523,47
114,se,516,56
115,total,507,60
116,fout,505,30
117,station,494,39
118,end,476,47
119,os,475,57
120,__init__,474,120
121,val,473,53
122,case_num,472,20
123,filename,471,38
124,trips,459,39
125,tmp,456,40
126,debug,451,26
127,trees,451,54
128,temp,440,39
129,value,437,39
130,depart,418,45
131,arrive,417,44
132,copy,404,61
133,idx,400,33
134,left,398,34
135,input_file,397,24
136,fi,393,17
137,switch,378,51
138,ret,371,37
139,name,369,34
140,pi,369,109
141,add,367,101
142,best,365,37
143,datetime,361,48
144,u,359,25
145,minutes,359,62
146,search_engines,357,38
147,V,355,56
148,table,354,21
149,o,354,37
150,join,343,96
151,inp,340,17
152,psyco,337,54
153,right,335,29
154,fd,331,12
155,outfile,328,23
156,readlines,328,78
157,items,327,49
158,values,326,54
159,item,320,36
160,current,320,28
161,perm,319,52
162,read,318,57
163,re,314,47
164,stdout,306,47
165,test,306,31
166,node,302,21
167,p1,301,37
168,searches,299,26
